id	filename	md5	size	state
a30971ef-da3a-4603-a67d-1485680a3001	f4b179c1-9d27-439b-a1ef-3dfbbd684c15.FPKM.txt.gz	785e5da68a25626678ba657d367c33c3	488833	validated
28bbe070-fffc-49b5-8fd4-13f20511f321	737a6ce7-5446-4610-bf9f-5c46b769b842.FPKM.txt.gz	835015cdac47aa9ff10ef57443e2fa0d	504656	validated
3775096d-c488-45b5-a1d4-7db3e9fb003e	de808f1a-676c-4bda-afcb-bf61577324f7.FPKM.txt.gz	ce76c782edad0a563ff3e76a802ccf0a	515966	validated
584c8029-1dbb-45a8-9b7b-5fc5d5b97886	27b42f71-0ef6-4774-85cc-3c8b32e55732.FPKM.txt.gz	92b220870dd920dfe5d00e36c835e383	546882	validated
5baca7bf-6fc3-4987-a582-d2b205cf431d	ac5bc405-b210-4bf3-a4e6-6ff071aa59c7.FPKM.txt.gz	6aa59b98ded363f48e5d124e2d2e49ac	520248	validated
5b0b6d34-d692-4fcd-89b7-45e1ee37c35d	98fcd5aa-3b1a-4980-a65f-c44a8c070101.FPKM.txt.gz	0ff028a588e37cde5905ed854e01140a	530629	validated
4763160b-d4cd-4829-9ff4-fd73117f693a	ec4a2c9d-1d81-4129-b2b9-ac500f39f7ca.FPKM.txt.gz	458946e750f6fb72da887b1083dc6eb2	517564	validated
0ca56588-0450-4fb5-a574-7077acf62d0e	432d86b3-b5d0-46c0-96d8-d7d5f4e6c3b6.FPKM.txt.gz	37af5a565e9cda4a16bf9f880f74dbfe	507003	validated
176264f9-3d23-4fee-97fb-74ade9deb0a9	27b907cb-2b29-4301-aa21-293d97d9b695.FPKM.txt.gz	da9947347ab58f14d3ae8fb4447361ae	506443	validated
59885b3a-a0d9-4a00-b294-aed36895c5ba	992d1bbb-5540-4082-9e08-819e0272cf89.FPKM.txt.gz	ce84a878fc17d145a458bb2fe3797960	530390	validated
bf1f3987-0aea-49f2-bd30-48c6ab2ca00f	e5bdbaee-23f8-4024-aa6d-51efeee22e7c.FPKM.txt.gz	b6de6f3b5bafedf6e9f2d21648261e54	516207	validated
64cec8f8-139d-4e5a-8724-3a9fe9da55ed	725ae5e0-0325-4f5e-ba91-7694ac1166bb.FPKM.txt.gz	c5c662064aed0f4b6ed873fdf8ceac9c	511994	validated
21896cbf-a16e-4dae-a7e6-f713ee2075fa	45c8b091-bc89-4b52-87d9-2d9f97280abe.FPKM.txt.gz	32074a18dd9c9f42c5cb7918605fa698	506682	validated
3d488c08-57a1-4077-a244-2fae8bd9c2f6	aa96ddcb-cfd6-4696-9669-d10ca5bcac82.FPKM.txt.gz	f24c51825490200837a223f9d5f7d1d0	516808	validated
