u	v	score
ENSG00000001631	ENSG00000161048	0.7077256316645224
ENSG00000001631	ENSG00000234545	0.7488289007752389
ENSG00000002330	ENSG00000007520	0.7350899581706304
ENSG00000002330	ENSG00000071655	0.7051112044033568
ENSG00000002330	ENSG00000099624	0.7045831693011363
ENSG00000002330	ENSG00000103024	0.7159841554593882
ENSG00000002330	ENSG00000106400	0.7032159571005758
ENSG00000002330	ENSG00000107872	0.7742676928808696
ENSG00000002330	ENSG00000110011	0.7201584613408534
ENSG00000002330	ENSG00000115286	0.7274602752343878
ENSG00000002330	ENSG00000126432	0.7099564435984255
ENSG00000002330	ENSG00000127445	0.7025656312554507
ENSG00000002330	ENSG00000146540	0.7553273254647661
ENSG00000002330	ENSG00000149761	0.8364792442937606
ENSG00000002330	ENSG00000152082	0.7805261755063138
ENSG00000002330	ENSG00000161677	0.7177486421939213
ENSG00000002330	ENSG00000162191	0.7049270478214498
ENSG00000002330	ENSG00000164897	0.7197597002504895
ENSG00000002330	ENSG00000172922	0.725888388008737
ENSG00000002330	ENSG00000173486	0.7468521966395812
ENSG00000002330	ENSG00000174276	0.7589423009293421
ENSG00000002330	ENSG00000184281	0.7091339016967714
ENSG00000002330	ENSG00000214253	0.7330013605322304
ENSG00000002330	ENSG00000229809	0.7058353552438517
ENSG00000002549	ENSG00000101347	0.7035810557475057
ENSG00000002549	ENSG00000115415	0.7278339904899384
ENSG00000002745	ENSG00000027644	0.8702282971630684
ENSG00000002745	ENSG00000074317	0.7786079502343304
ENSG00000002745	ENSG00000083067	0.8851364509047532
ENSG00000002745	ENSG00000102924	0.7681635494077981
ENSG00000002745	ENSG00000113196	0.70780090397115
ENSG00000002745	ENSG00000125207	0.8192214763983344
ENSG00000002745	ENSG00000139269	0.7499275491794776
ENSG00000002745	ENSG00000162992	0.9091906906228745
ENSG00000002745	ENSG00000163499	0.7250856868551215
ENSG00000002745	ENSG00000167550	0.7120945002461355
ENSG00000002745	ENSG00000168621	0.7214460938258617
ENSG00000002745	ENSG00000177511	0.9593587657264402
ENSG00000002745	ENSG00000184672	0.7597571671792736
ENSG00000002822	ENSG00000106009	0.7691576195270949
ENSG00000002822	ENSG00000106268	0.7227556833958821
ENSG00000002822	ENSG00000146540	0.7407837872213464
ENSG00000002822	ENSG00000242802	0.7347029247646915
ENSG00000002834	ENSG00000276293	0.7320283328516718
ENSG00000002919	ENSG00000082641	0.7729917640676506
ENSG00000002919	ENSG00000108439	0.7790120361644137
ENSG00000002919	ENSG00000108468	0.727544790725539
ENSG00000003393	ENSG00000080345	0.7017038479243312
ENSG00000003393	ENSG00000115942	0.7423004020113134
ENSG00000003393	ENSG00000118260	0.7108340977560498
ENSG00000003393	ENSG00000135913	0.7243718340053089
ENSG00000003756	ENSG00000004534	0.7806158459747238
ENSG00000003756	ENSG00000010322	0.7227118634938922
ENSG00000003756	ENSG00000013441	0.7240628011861372
ENSG00000003756	ENSG00000113240	0.7370431940903278
ENSG00000003756	ENSG00000113971	0.7049260142014903
ENSG00000003756	ENSG00000114735	0.7417353191095435
ENSG00000003756	ENSG00000114857	0.7302670413255191
ENSG00000003756	ENSG00000244754	0.7056938640252637
ENSG00000004059	ENSG00000005075	0.7509037951400719
ENSG00000004059	ENSG00000106400	0.741429928969375
ENSG00000004059	ENSG00000128524	0.7324617670713445
ENSG00000004059	ENSG00000160813	0.7046950144184985
ENSG00000004059	ENSG00000160993	0.7267347540964635
ENSG00000004059	ENSG00000164897	0.7560429118449218
ENSG00000004142	ENSG00000109079	0.7522505524273906
ENSG00000004142	ENSG00000109083	0.7334351476844849
ENSG00000004142	ENSG00000132581	0.7315388583240352
ENSG00000004142	ENSG00000132591	0.7680105664523948
ENSG00000004142	ENSG00000244045	0.792339934237817
ENSG00000004468	ENSG00000026751	0.9115322631942592
ENSG00000004468	ENSG00000043462	0.7564403400345804
ENSG00000004468	ENSG00000048462	0.7405069900619965
ENSG00000004468	ENSG00000073861	0.7824502777928498
ENSG00000004468	ENSG00000076662	0.7385831237048497
ENSG00000004468	ENSG00000079263	0.7828627324045375
ENSG00000004468	ENSG00000089012	0.7466646642710374
ENSG00000004468	ENSG00000089692	0.7032376874202357
ENSG00000004468	ENSG00000091490	0.7131339408496667
ENSG00000004468	ENSG00000096996	0.7350520076446148
ENSG00000004468	ENSG00000100453	0.716357194823328
ENSG00000004468	ENSG00000101082	0.7814010064326021
ENSG00000004468	ENSG00000102096	0.8081406638708182
ENSG00000004468	ENSG00000103522	0.8124885317949586
ENSG00000004468	ENSG00000105639	0.7223176148285855
ENSG00000004468	ENSG00000109943	0.7058675850350936
ENSG00000004468	ENSG00000110324	0.7264589123679901
ENSG00000004468	ENSG00000110777	0.7955655134615931
ENSG00000004468	ENSG00000110934	0.7212791199229326
ENSG00000004468	ENSG00000111537	0.7081906426932153
ENSG00000004468	ENSG00000115956	0.7329309764000213
ENSG00000004468	ENSG00000116824	0.7434220479145205
ENSG00000004468	ENSG00000117090	0.7658789778091586
ENSG00000004468	ENSG00000117560	0.7629083698632759
ENSG00000004468	ENSG00000121807	0.7796342012752966
ENSG00000004468	ENSG00000122188	0.8499299948761777
ENSG00000004468	ENSG00000134516	0.7025042010537844
ENSG00000004468	ENSG00000137265	0.7389327978847066
ENSG00000004468	ENSG00000137496	0.7051102389948537
ENSG00000004468	ENSG00000138684	0.7026058082005849
ENSG00000004468	ENSG00000138755	0.7348608327945065
ENSG00000004468	ENSG00000139626	0.7630907177658128
ENSG00000004468	ENSG00000143119	0.7576634453438965
ENSG00000004468	ENSG00000143851	0.7887714182584473
ENSG00000004468	ENSG00000147168	0.785200754430852
ENSG00000004468	ENSG00000153283	0.7309665637445139
ENSG00000004468	ENSG00000153563	0.7074640440236769
ENSG00000004468	ENSG00000158517	0.7236687868501627
ENSG00000004468	ENSG00000160185	0.7070857252279735
ENSG00000004468	ENSG00000160654	0.742776133558115
ENSG00000004468	ENSG00000160791	0.7802792010070111
ENSG00000004468	ENSG00000162676	0.7634914659369896
ENSG00000004468	ENSG00000162739	0.7518470410544444
ENSG00000004468	ENSG00000163219	0.7132576951803138
ENSG00000004468	ENSG00000163564	0.705393955005655
ENSG00000004468	ENSG00000163599	0.7494059159117258
ENSG00000004468	ENSG00000163600	0.7769356101382354
