u	v
ENSG00000043355	ENSG00000111087
ENSG00000107882	ENSG00000111087
ENSG00000163482	ENSG00000111087
ENSG00000152977	ENSG00000074047
ENSG00000043355	ENSG00000074047
ENSG00000107882	ENSG00000074047
ENSG00000163482	ENSG00000074047
ENSG00000156925	ENSG00000106571
ENSG00000005339	ENSG00000106571
ENSG00000167751	ENSG00000196136
ENSG00000152977	ENSG00000106571
ENSG00000043355	ENSG00000106571
ENSG00000107882	ENSG00000106571
ENSG00000163482	ENSG00000106571
ENSG00000141646	ENSG00000136603
ENSG00000175387	ENSG00000136603
ENSG00000166949	ENSG00000136603
ENSG00000108854	ENSG00000136603
ENSG00000187736	ENSG00000174405
ENSG00000124181	ENSG00000110395
ENSG00000111679	ENSG00000110395
ENSG00000105397	ENSG00000110395
ENSG00000115085	ENSG00000110395
ENSG00000113263	ENSG00000110395
ENSG00000097007	ENSG00000110395
ENSG00000197122	ENSG00000110395
ENSG00000148400	ENSG00000110395
ENSG00000136573	ENSG00000110395
ENSG00000010671	ENSG00000110395
ENSG00000147010	ENSG00000110395
ENSG00000165025	ENSG00000110395
ENSG00000160293	ENSG00000110395
ENSG00000158092	ENSG00000110395
ENSG00000160691	ENSG00000110395
ENSG00000165458	ENSG00000110395
ENSG00000155926	ENSG00000110395
ENSG00000120899	ENSG00000110395
ENSG00000043462	ENSG00000110395
ENSG00000099942	ENSG00000110395
ENSG00000136158	ENSG00000110395
ENSG00000131508	ENSG00000110395
ENSG00000105647	ENSG00000110395
ENSG00000177697	ENSG00000005884
ENSG00000185651	ENSG00000110395
ENSG00000198087	ENSG00000110395
ENSG00000177697	ENSG00000150093
ENSG00000095637	ENSG00000110395
ENSG00000101082	ENSG00000110395
ENSG00000134242	ENSG00000110395
ENSG00000160691	ENSG00000110651
ENSG00000166225	ENSG00000110395
ENSG00000113658	ENSG00000077312
ENSG00000136770	ENSG00000196136
ENSG00000154127	ENSG00000110395
ENSG00000131941	ENSG00000143878
ENSG00000163947	ENSG00000143878
ENSG00000114993	ENSG00000155366
ENSG00000124181	ENSG00000067560
ENSG00000177301	ENSG00000067560
ENSG00000079482	ENSG00000067560
ENSG00000101977	ENSG00000067560
ENSG00000126777	ENSG00000067560
ENSG00000123143	ENSG00000067560
ENSG00000145214	ENSG00000067560
ENSG00000067900	ENSG00000067560
ENSG00000038382	ENSG00000067560
ENSG00000141522	ENSG00000067560
ENSG00000058272	ENSG00000067560
ENSG00000114993	ENSG00000067560
ENSG00000108797	ENSG00000067560
ENSG00000075651	ENSG00000067560
ENSG00000065243	ENSG00000067560
ENSG00000156973	ENSG00000067560
ENSG00000175220	ENSG00000067560
ENSG00000242173	ENSG00000067560
ENSG00000170776	ENSG00000067560
ENSG00000105404	ENSG00000067560
ENSG00000136002	ENSG00000067560
ENSG00000134215	ENSG00000067560
ENSG00000196914	ENSG00000067560
ENSG00000122966	ENSG00000067560
ENSG00000132694	ENSG00000067560
ENSG00000196935	ENSG00000067560
ENSG00000100592	ENSG00000067560
ENSG00000131941	ENSG00000067560
ENSG00000116584	ENSG00000067560
ENSG00000023892	ENSG00000067560
ENSG00000138698	ENSG00000067560
ENSG00000144935	ENSG00000067560
ENSG00000142675	ENSG00000067560
ENSG00000104880	ENSG00000067560
ENSG00000163947	ENSG00000067560
ENSG00000126217	ENSG00000067560
ENSG00000277571	ENSG00000124107
ENSG00000158106	ENSG00000067560
ENSG00000113658	ENSG00000063244
ENSG00000104904	ENSG00000115758
ENSG00000180304	ENSG00000115758
ENSG00000138448	ENSG00000118785
ENSG00000030582	ENSG00000124107
ENSG00000155657	ENSG00000188554
ENSG00000185043	ENSG00000188554
ENSG00000149557	ENSG00000188554
ENSG00000101558	ENSG00000110048
ENSG00000113658	ENSG00000173933
ENSG00000139687	ENSG00000075891
ENSG00000157212	ENSG00000075891
ENSG00000005102	ENSG00000125813
ENSG00000106511	ENSG00000125813
ENSG00000118513	ENSG00000196092
ENSG00000283060	ENSG00000196092
ENSG00000227046	ENSG00000196092
ENSG00000136352	ENSG00000125618
ENSG00000111676	ENSG00000196470
ENSG00000198807	ENSG00000117139
ENSG00000172016	ENSG00000115386
ENSG00000188313	ENSG00000124107
ENSG00000113658	ENSG00000115561
ENSG00000113658	ENSG00000060982
ENSG00000113658	ENSG00000131013
ENSG00000113658	ENSG00000123124
ENSG00000160801	ENSG00000152266
ENSG00000144407	ENSG00000152266
ENSG00000132646	ENSG00000110092
ENSG00000139687	ENSG00000110092
ENSG00000147133	ENSG00000110092
ENSG00000169083	ENSG00000110092
ENSG00000111276	ENSG00000110092
ENSG00000124151	ENSG00000110092
ENSG00000084676	ENSG00000110092
ENSG00000100393	ENSG00000110092
ENSG00000105810	ENSG00000110092
ENSG00000105127	ENSG00000110092
ENSG00000166946	ENSG00000110092
ENSG00000114166	ENSG00000110092
ENSG00000100387	ENSG00000110092
ENSG00000126351	ENSG00000110092
ENSG00000151090	ENSG00000110092
ENSG00000171720	ENSG00000110092
ENSG00000138646	ENSG00000110092
ENSG00000107281	ENSG00000110092
ENSG00000125378	ENSG00000157077
ENSG00000087494	ENSG00000160801
ENSG00000109062	ENSG00000160801
ENSG00000065054	ENSG00000160801
ENSG00000108424	ENSG00000087494
ENSG00000173801	ENSG00000134757
ENSG00000180210	ENSG00000117601
ENSG00000237599	ENSG00000232367
ENSG00000167004	ENSG00000232367
ENSG00000231925	ENSG00000232367
ENSG00000231925	ENSG00000237599
ENSG00000160145	ENSG00000145730
ENSG00000198774	ENSG00000145730
ENSG00000152332	ENSG00000145730
ENSG00000157911	ENSG00000164751
ENSG00000101986	ENSG00000117528
ENSG00000104267	ENSG00000090020
ENSG00000162735	ENSG00000117528
ENSG00000173208	ENSG00000117528
ENSG00000186350	ENSG00000186951
ENSG00000196498	ENSG00000186951
ENSG00000141027	ENSG00000186951
ENSG00000128951	ENSG00000186951
ENSG00000132676	ENSG00000186951
ENSG00000180530	ENSG00000186951
ENSG00000084676	ENSG00000186951
ENSG00000100393	ENSG00000186951
ENSG00000109819	ENSG00000186951
ENSG00000170776	ENSG00000186951
ENSG00000130222	ENSG00000186951
ENSG00000008838	ENSG00000186951
ENSG00000025434	ENSG00000186951
ENSG00000166913	ENSG00000090020
ENSG00000110711	ENSG00000186951
ENSG00000148572	ENSG00000186951
ENSG00000116353	ENSG00000186951
ENSG00000071054	ENSG00000090020
ENSG00000142892	ENSG00000163283
ENSG00000113721	ENSG00000145675
ENSG00000261371	ENSG00000145675
ENSG00000179295	ENSG00000145675
ENSG00000187446	ENSG00000090020
ENSG00000178562	ENSG00000145675
ENSG00000173762	ENSG00000145675
ENSG00000276536	ENSG00000145675
ENSG00000182511	ENSG00000145675
ENSG00000197122	ENSG00000145675
ENSG00000065361	ENSG00000145675
ENSG00000106799	ENSG00000145675
ENSG00000147010	ENSG00000145675
ENSG00000015285	ENSG00000145675
ENSG00000198223	ENSG00000145675
ENSG00000078061	ENSG00000145675
ENSG00000008056	ENSG00000145675
ENSG00000133818	ENSG00000145675
ENSG00000108312	ENSG00000117877
ENSG00000107338	ENSG00000145675
ENSG00000092445	ENSG00000145675
ENSG00000160691	ENSG00000145675
ENSG00000169398	ENSG00000145675
ENSG00000185950	ENSG00000145675
ENSG00000112964	ENSG00000145675
ENSG00000107643	ENSG00000145675
ENSG00000099942	ENSG00000145675
ENSG00000136238	ENSG00000145675
ENSG00000123416	ENSG00000145675
ENSG00000148848	ENSG00000145675
ENSG00000175220	ENSG00000145675
ENSG00000198851	ENSG00000117877
ENSG00000171608	ENSG00000145675
ENSG00000051382	ENSG00000145675
ENSG00000050820	ENSG00000145675
ENSG00000133124	ENSG00000145675
ENSG00000185338	ENSG00000145675
ENSG00000109458	ENSG00000145675
ENSG00000137054	ENSG00000117877
ENSG00000170027	ENSG00000145675
ENSG00000135439	ENSG00000145675
ENSG00000134215	ENSG00000145675
ENSG00000033327	ENSG00000145675
ENSG00000198851	ENSG00000145675
ENSG00000177047	ENSG00000142166
ENSG00000276536	ENSG00000121879
ENSG00000156052	ENSG00000121879
ENSG00000133124	ENSG00000121879
ENSG00000117461	ENSG00000121879
ENSG00000100302	ENSG00000121879
ENSG00000164924	ENSG00000123836
ENSG00000171855	ENSG00000142166
ENSG00000145675	ENSG00000142166
ENSG00000160678	ENSG00000079739
ENSG00000160307	ENSG00000079739
ENSG00000154415	ENSG00000198523
ENSG00000170290	ENSG00000198523
ENSG00000188257	ENSG00000170890
ENSG00000113721	ENSG00000124181
ENSG00000261371	ENSG00000124181
ENSG00000134853	ENSG00000124181
ENSG00000066468	ENSG00000124181
ENSG00000115085	ENSG00000124181
ENSG00000115904	ENSG00000124181
ENSG00000105397	ENSG00000142166
ENSG00000113263	ENSG00000124181
ENSG00000197122	ENSG00000124181
ENSG00000198400	ENSG00000124181
ENSG00000140538	ENSG00000124181
ENSG00000015285	ENSG00000124181
ENSG00000165025	ENSG00000124181
ENSG00000164078	ENSG00000124181
ENSG00000107338	ENSG00000124181
ENSG00000169398	ENSG00000124181
ENSG00000185950	ENSG00000124181
ENSG00000166402	ENSG00000124181
ENSG00000100485	ENSG00000124181
ENSG00000149091	ENSG00000124181
ENSG00000043462	ENSG00000124181
ENSG00000087266	ENSG00000124181
ENSG00000213658	ENSG00000124181
ENSG00000129219	ENSG00000124181
ENSG00000121774	ENSG00000124181
ENSG00000065243	ENSG00000124181
ENSG00000149269	ENSG00000124181
ENSG00000073921	ENSG00000124181
ENSG00000151929	ENSG00000124181
ENSG00000109458	ENSG00000124181
ENSG00000170581	ENSG00000142166
ENSG00000184304	ENSG00000124181
ENSG00000108262	ENSG00000124181
ENSG00000086730	ENSG00000124181
ENSG00000283781	ENSG00000124181
ENSG00000092439	ENSG00000124181
ENSG00000138741	ENSG00000124181
ENSG00000122194	ENSG00000074800
ENSG00000173801	ENSG00000157077
ENSG00000158793	ENSG00000157077
ENSG00000196323	ENSG00000170365
ENSG00000103275	ENSG00000163877
ENSG00000164776	ENSG00000156873
ENSG00000078043	ENSG00000163877
ENSG00000069011	ENSG00000064835
ENSG00000144852	ENSG00000064835
ENSG00000126457	ENSG00000142166
ENSG00000143257	ENSG00000064835
ENSG00000143379	ENSG00000163877
ENSG00000129538	ENSG00000276230
ENSG00000180210	ENSG00000124570
ENSG00000163349	ENSG00000163877
ENSG00000261371	ENSG00000173801
ENSG00000134982	ENSG00000173801
ENSG00000142949	ENSG00000173801
ENSG00000039068	ENSG00000173801
ENSG00000134762	ENSG00000173801
ENSG00000198561	ENSG00000173801
ENSG00000179776	ENSG00000173801
ENSG00000148737	ENSG00000173801
ENSG00000273993	ENSG00000173801
ENSG00000057294	ENSG00000173801
ENSG00000152104	ENSG00000173801
ENSG00000166167	ENSG00000173801
ENSG00000106366	ENSG00000122194
ENSG00000111537	ENSG00000027697
ENSG00000113140	ENSG00000122194
ENSG00000137801	ENSG00000122194
ENSG00000112936	ENSG00000122194
ENSG00000162434	ENSG00000027697
ENSG00000126218	ENSG00000122194
ENSG00000113889	ENSG00000122194
ENSG00000276838	ENSG00000122194
ENSG00000124795	ENSG00000137203
ENSG00000196504	ENSG00000141646
ENSG00000104368	ENSG00000106366
ENSG00000180210	ENSG00000106366
ENSG00000165458	ENSG00000128591
ENSG00000122861	ENSG00000106366
ENSG00000109072	ENSG00000106366
ENSG00000163815	ENSG00000104368
